word_id,english,assyrian,lvl,ps,gnd,num
1,man,ܐܢܵܫܵܐ,1,noun,m,s
2,woman,ܒܲܟܼܬܵܐ,1,noun,f,s
3,boy,ܝܵܠܵܕ݉ܐ,1,noun,m,s
4,girl,ܝܵܠܕ݉ܬܵܐ,1,noun,f,s
5,apple,ܚܲܒܘܼܫܵܐ,1,noun,m,s
6,bread,ܠܲܚܡܵܐ,1,noun,m,s
7,water,ܡܝܼܵܐ,2,noun,m,s
8,morning,ܩܲܝܕܲܡܬܵܐ,2,noun,f,s
9,evening,ܪܲܡܫܵܐ,2,noun,m,s
10,day,ܝܵܘܡܵܐ,2,noun,m,s
11,night,ܠܲܝܠܹܐ,2,noun,f,s
12,Assyria,ܐܵܬܘܿܪ,3,noun,m,s
13,book,ܟܬܵܒܼܵܐ,3,noun,m,s
14,paper,ܘܲܪܵܩܵܐ,3,noun,m,s
15,rice,ܪܸܙܵܐ,3,noun,m,s
16,milk,ܚܲܠܒܼܵܐ,3,noun,m,s
17,dog,ܟܲܠܒܵܐ,3,noun,m,s
18,bird,ܛܲܝܪܵܐ,3,noun,f,s
19,cat,ܩܵܛܘܼ,3,noun,f,s
20,name,ܫܸܡܵܐ,4,noun,f,s
21,place,ܕܘܼܟܵܐ,4,noun,f,s
22,land,ܐܲܪܥܵܐ,4,noun,f,s
23,weather,ܗܵܘܵܐ,4,noun,m,s
24,road,ܐܘܼܪܚܵܐ,4,noun,f,s
25,teacher,ܡܲܠܦܵܢܵܐ,5,noun,m,s
26,student,ܬܲܠܡܝܼܕܵܐ,5,noun,m,s
27,men,ܐܢܵܫܹܐ,1,noun,m,p
28,women,ܒܲܟܼܬܵܬܹܐ,1,noun,f,p
29,boys,ܝܵܠܹܕ݉ܐ,1,noun,m,p
30,girls,ܝܵܠܕ݉ܬܹܐ,1,noun,f,p
31,apples,ܚܲܒܘܼܫܹܐ,1,noun,m,p
32,breads,ܠܲܚܡܹܐ,1,noun,m,p
33,waters,ܡܝܼܹܐ,2,noun,m,p
34,mornings,ܩܲܝܕܲܡܝܵܬܹܐ,2,noun,f,p
35,evenings,ܪܲܡܫܵܢܹܐ,2,noun,m,p
36,days,ܝܵܘܡܵܢܹܐ,2,noun,m,p
37,nights,ܠܲܝܠܵܘܵܬܹܐ,2,noun,f,p
38,books,ܟܬܵܒܼܹܐ,3,noun,m,p
39,papers,ܘܲܪܵܩܹܐ,3,noun,m,p
40,dogs,ܟܲܠܒܹܐ,3,noun,m,p
41,birds,ܛܲܝܪܹܐ,3,noun,f,p
42,cats,ܩܵܛܘܼܢܘܵܬܹܐ,3,noun,f,p
43,names,ܫܸܡܵܢܹܐ,4,noun,f,p
44,places,ܕܘܼܟܵܢܹܐ,4,noun,f,p
45,lands,ܐܲܪܥܵܢܘܵܬܹܐ,4,noun,f,p
46,roads,ܐܘܼܪܚܵܬܹܐ,4,noun,f,p
47,teachers,ܡܲܠܦܵܢܹܐ,5,noun,m,p
48,students,ܬܲܠܡܝܼܕܹܐ,5,noun,m,p
